Description,Label,sValue,Value
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.initial_uti_cultures,0,0
Phenotyping analysis cohorts,ana_cohorts.hist_num_phen_res_fobt_iso_profiles_per_pat.valid_uti_cultures,0,0
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.initial_fobt_isolates,618,618
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.valid_fobt_isolates,578,578
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.initial_uti_isolates,155,155
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.valid_uti_isolates,153,153
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.initial_fobt_patients,54,54
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.valid_fobt_patients,54,54
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.initial_uti_patients,54,54
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.valid_uti_patients,54,54
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.initial_uti_cultures,90,90
Phenotyping analysis cohorts,ana_cohorts.hist_phen_profiles_match_same_vs_diff_pat.valid_uti_cultures,89,89
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_fobt_isolates,397,397
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_fobt_isolates,360,360
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_uti_isolates,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_uti_isolates,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_fobt_patients,20,20
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_fobt_patients,19,19
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_uti_patients,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_uti_patients,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.initial_uti_cultures,0,0
Phenotyping analysis cohorts,ana_cohorts.MatchPhenGen.valid_uti_cultures,0,0
Phenotyping experiment cohorts,exp_cohorts.total_fobt_isolates,646,646
Phenotyping experiment cohorts,exp_cohorts.total_uti_isolates,305,305
Phenotyping experiment cohorts,exp_cohorts.valid_fobt_isolates,646,646
Phenotyping experiment cohorts,exp_cohorts.valid_uti_isolates,305,305
Phenotyping experiment cohorts,exp_cohorts.n_fobt_patients_total,65,65
Phenotyping experiment cohorts,exp_cohorts.n_uti_patients_total,75,75
Phenotyping experiment cohorts,exp_cohorts.n_patients_total,86,86
Phenotyping experiment cohorts,exp_cohorts.n_uti_cultures_total,119,119
